経路長：53631.57211
i:160, length:50089.66964 , length_2:50172.51235 , length_3:50176.98538             num_True:9  ,            lap_time:1652.08889
i:161, length:50089.66964 , length_2:50172.51235 , length_3:50176.98538             num_True:10 ,            lap_time:1665.34154
i:162, length:50089.66964 , length_2:50111.95722 , length_3:50152.72131             num_True:7  ,            lap_time:1675.34901
i:163, length:50089.66964 , length_2:50097.04867 , length_3:50111.95722             num_True:7  ,            lap_time:1684.30526
i:164, length:50056.28459 , length_2:50081.47818 , length_3:50089.66964             num_True:7  ,            lap_time:1695.99855
i:165, length:50056.28458 , length_2:50056.28459 , length_3:50060.75761             num_True:7  ,            lap_time:1709.24791
i:166, length:50056.28458 , length_2:50056.28459 , length_3:50060.75761             num_True:10 ,            lap_time:1721.48115
i:167, length:50056.28458 , length_2:50056.28459 , length_3:50060.75761             num_True:10 ,            lap_time:1733.74056
i:168, length:50056.28458 , length_2:50056.28459 , length_3:50060.75761             num_True:9  ,            lap_time:1744.56263
i:169, length:50056.28458 , length_2:50056.28459 , length_3:50060.75761             num_True:8  ,            lap_time:1757.29337
i:170, length:50056.28458 , length_2:50056.28459 , length_3:50060.75761             num_True:10 ,            lap_time:1769.64518
i:171, length:50056.28458 , length_2:50056.28459 , length_3:50060.75761             num_True:9  ,            lap_time:1781.67185
i:172, length:50056.28458 , length_2:50056.28459 , length_3:50060.75761             num_True:10 ,            lap_time:1792.75267
i:173, length:50056.28458 , length_2:50056.28459 , length_3:50060.75761             num_True:10 ,            lap_time:1805.04663
i:174, length:50056.28458 , length_2:50056.28459 , length_3:50060.75761             num_True:7  ,            lap_time:1817.49503
i:175, length:50056.28458 , length_2:50056.28459 , length_3:50060.75761             num_True:10 ,            lap_time:1828.36580
i:176, length:50056.28458 , length_2:50056.28459 , length_3:50060.75761             num_True:10 ,            lap_time:1841.33905
i:177, length:50056.28458 , length_2:50056.28459 , length_3:50060.75761             num_True:10 ,            lap_time:1855.59249
i:178, length:50056.28458 , length_2:50056.28459 , length_3:50060.75761             num_True:10 ,            lap_time:1876.81418
i:179, length:50056.28458 , length_2:50056.28459 , length_3:50060.75761             num_True:10 ,            lap_time:1893.55851
i:180, length:50056.28458 , length_2:50056.28459 , length_3:50060.75761             num_True:10 ,            lap_time:1904.88407
i:181, length:50056.28458 , length_2:50056.28459 , length_3:50060.75761             num_True:10 ,            lap_time:1917.86567
i:182, length:50056.28458 , length_2:50056.28459 , length_3:50060.75761             num_True:10 ,            lap_time:1930.24120
i:183, length:50056.28458 , length_2:50056.28459 , length_3:50060.75761             num_True:10 ,            lap_time:1944.44542
i:184, length:50056.28458 , length_2:50056.28459 , length_3:50060.75761             num_True:10 ,            lap_time:1962.96438
i:185, length:50039.91063 , length_2:50056.28458 , length_3:50056.28459             num_True:7  ,            lap_time:1972.96992
i:186, length:50039.91063 , length_2:50047.28966 , length_3:50056.28458             num_True:10 ,            lap_time:1983.36073
i:187, length:50039.91063 , length_2:50043.69676 , length_3:50047.28966             num_True:9  ,            lap_time:1993.36304
i:188, length:50039.91063 , length_2:50043.69676 , length_3:50047.28966             num_True:10 ,            lap_time:2002.72661
i:189, length:50039.91063 , length_2:50043.69676 , length_3:50047.28966             num_True:10 ,            lap_time:2013.05960
i:190, length:50039.91063 , length_2:50043.69676 , length_3:50047.28966             num_True:10 ,            lap_time:2022.70122
i:191, length:50039.91063 , length_2:50043.69676 , length_3:50047.28966             num_True:10 ,            lap_time:2032.47408
i:192, length:50039.91063 , length_2:50043.69676 , length_3:50047.28966             num_True:8  ,            lap_time:2042.68315
i:193, length:50039.91063 , length_2:50043.69676 , length_3:50047.28966             num_True:10 ,            lap_time:2052.39094
i:194, length:50039.91063 , length_2:50043.69676 , length_3:50047.28966             num_True:10 ,            lap_time:2065.48602
i:195, length:50039.91063 , length_2:50043.69676 , length_3:50047.28966             num_True:10 ,            lap_time:2077.48950
i:196, length:50039.91063 , length_2:50043.69676 , length_3:50047.28966             num_True:10 ,            lap_time:2088.23343
i:197, length:50039.91063 , length_2:50043.69676 , length_3:50047.28966             num_True:10 ,            lap_time:2098.18447
i:198, length:50039.91063 , length_2:50043.69676 , length_3:50047.28966             num_True:10 ,            lap_time:2110.89192
i:199, length:50039.91063 , length_2:50043.69676 , length_3:50047.28966             num_True:10 ,            lap_time:2123.63020
