1回目
経路長：2106.0
i:88, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:171.29490
i:89, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:173.13931
i:90, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:175.03496
i:91, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:176.67349
i:92, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:178.37426
i:93, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:180.11595
i:94, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:181.80753
i:95, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:183.44509
i:96, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:185.08989
i:97, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:186.69513
i:98, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:188.71454
i:99, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:190.56822
i:100, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:192.17141
i:101, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:193.84144
i:102, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:195.45265
i:103, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:197.10447
i:104, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:198.75291
i:105, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:200.50028
i:106, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:202.13148
i:107, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:204.21414
i:108, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:205.98808
i:109, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:207.69831
i:110, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:209.31966
i:111, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:211.04501
i:112, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:212.70465
i:113, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:214.39622
i:114, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:216.08865
i:115, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:217.77116
i:116, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:219.46504
i:117, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:221.17751
i:118, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:222.86101
i:119, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:225.07294
i:120, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:226.74394
i:121, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:228.38035
i:122, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:230.07607
i:123, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:231.86111
i:124, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:233.50004
i:125, length:1532.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:235.14400
