経路長：4854.0
i:152, length:1197.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:960.59938
i:153, length:1197.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:967.26922
i:154, length:1197.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:974.12797
i:155, length:1197.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:980.32433
i:156, length:1197.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:987.25600
i:157, length:1195.0      , tours_all_len:10,            num_True:8,            num_already_baseline:8            lap_time:993.81313
i:158, length:1195.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:999.22889
i:159, length:1194.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:1004.89192
i:160, length:1193.0      , tours_all_len:10,            num_True:9,            num_already_baseline:9            lap_time:1010.22942
i:161, length:1193.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:1015.88461
i:162, length:1193.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:1021.71732
i:163, length:1193.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:1027.94250
i:164, length:1193.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:1034.09649
i:165, length:1193.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:1041.02820
i:166, length:1193.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:1047.68220
i:167, length:1193.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:1054.19664
i:168, length:1183.0      , tours_all_len:10,            num_True:9,            num_already_baseline:9            lap_time:1060.54957
i:169, length:1183.0      , tours_all_len:10,            num_True:9,            num_already_baseline:10            lap_time:1067.42634
i:170, length:1182.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:1072.97591
i:171, length:1182.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:1078.76319
i:172, length:1182.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:1084.67303
i:173, length:1182.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:1090.80670
i:174, length:1182.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:1097.46086
i:175, length:1182.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:1103.97744
i:176, length:1182.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:1110.36451
i:177, length:1182.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:1116.77056
i:178, length:1182.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:1123.30355
i:179, length:1182.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:1130.08006
i:180, length:1182.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:1136.59251
i:181, length:1182.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:1142.97946
i:182, length:1182.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:1149.50083
i:183, length:1182.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:1155.91719
i:184, length:1182.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:1162.68079
i:185, length:1182.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:1169.04723
i:186, length:1182.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:1175.15735
i:187, length:1182.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:1181.93574
i:188, length:1181.0      , tours_all_len:10,            num_True:9,            num_already_baseline:9            lap_time:1188.65895
i:189, length:1181.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:1194.55474
i:190, length:1181.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:1201.07599
i:191, length:1181.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:1207.56458
i:192, length:1181.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:1214.31891
i:193, length:1181.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:1220.81917
i:194, length:1181.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:1227.43629
i:195, length:1181.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:1234.41195
i:196, length:1177.0      , tours_all_len:10,            num_True:9,            num_already_baseline:9            lap_time:1241.19386
i:197, length:1177.0      , tours_all_len:10,            num_True:6,            num_already_baseline:7            lap_time:1247.64756
i:198, length:1177.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:1253.13481
i:199, length:1177.0      , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:1259.43583
