経路長：48503.0
i:151, length:39309.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:615.07558
i:152, length:39307.0     , tours_all_len:10,            num_True:9,            num_already_baseline:9            lap_time:619.07352
i:153, length:39307.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:622.97794
i:154, length:39307.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:626.81014
i:155, length:39307.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:630.63016
i:156, length:39307.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:634.52164
i:157, length:39307.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:638.38069
i:158, length:39307.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:642.69917
i:159, length:39307.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:646.51254
i:160, length:39307.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:650.47857
i:161, length:39307.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:654.30261
i:162, length:39307.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:658.12037
i:163, length:39307.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:661.83990
i:164, length:39307.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:665.69293
i:165, length:39307.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:669.97866
i:166, length:39307.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:673.93937
i:167, length:39307.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:677.73745
i:168, length:39307.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:681.52127
i:169, length:39307.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:685.44727
i:170, length:39307.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:689.30737
i:171, length:39307.0     , tours_all_len:10,            num_True:10,            num_already_baseline:10            lap_time:693.70426
